what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355669775870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355669779865
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1355669803850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355669804871
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355669805157
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355669805254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1355669808367
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1355669812858
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1355669813959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355669828753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355669834216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355669835259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355670814148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355670815687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355672876573
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355672877000
error,log,,,"Problems saving workspace",1355672878532
error,log,,,"Problems occurred while trying to save the state of the workbench.",1355672878533
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1355672879080
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1355672879083
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1355672879084
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1355672879085
