,Cluster 1
Reference cluster 1,"(0.02654867256637168, 1.0, 0.051724137931033976)"
Reference cluster 2,"(0.02654867256637168, 1.0, 0.051724137931033976)"
Reference cluster 3,"(0.02654867256637168, 0.75, 0.05128205128205062)"
Reference cluster 4,"(0.061946902654867256, 1.0, 0.11666666666666556)"
Reference cluster 5,"(0.02654867256637168, 1.0, 0.051724137931033976)"
Reference cluster 6,"(0.08849557522123894, 0.8333333333333334, 0.15999999999999825)"
Reference cluster 7,"(0.035398230088495575, 1.0, 0.06837606837606772)"
Reference cluster 8,"(0.035398230088495575, 1.0, 0.06837606837606772)"
Reference cluster 9,"(0.05309734513274336, 0.8571428571428571, 0.0999999999999989)"
Reference cluster 10,"(0.02654867256637168, 0.5, 0.05042016806722593)"
Reference cluster 11,"(0.05309734513274336, 0.8571428571428571, 0.0999999999999989)"
Reference cluster 12,"(0.04424778761061947, 0.8333333333333334, 0.0840336134453772)"
Reference cluster 13,"(0.02654867256637168, 0.6, 0.05084745762711783)"
Reference cluster 14,"(0.07964601769911504, 0.9, 0.14634146341463267)"
