,Cluster 1,Cluster 2
Reference cluster 1,"(0.0, 0.0, 0.0)","(0.029411764705882353, 1.0, 0.05714285714285659)"
Reference cluster 2,"(0.0, 0.0, 0.0)","(0.029411764705882353, 1.0, 0.05714285714285659)"
Reference cluster 3,"(0.0, 0.0, 0.0)","(0.029411764705882353, 0.75, 0.056603773584904926)"
Reference cluster 4,"(0.09090909090909091, 0.14285714285714285, 0.11111111111110636)","(0.058823529411764705, 0.8571428571428571, 0.11009174311926484)"
Reference cluster 5,"(0.0, 0.0, 0.0)","(0.029411764705882353, 1.0, 0.05714285714285659)"
Reference cluster 6,"(0.09090909090909091, 0.08333333333333333, 0.08695652173912545)","(0.08823529411764706, 0.75, 0.15789473684210337)"
Reference cluster 7,"(0.0, 0.0, 0.0)","(0.0392156862745098, 1.0, 0.07547169811320681)"
Reference cluster 8,"(0.09090909090909091, 0.25, 0.13333333333332942)","(0.029411764705882353, 0.75, 0.056603773584904926)"
Reference cluster 9,"(0.09090909090909091, 0.14285714285714285, 0.11111111111110636)","(0.049019607843137254, 0.7142857142857143, 0.09174311926605384)"
Reference cluster 10,"(0.0, 0.0, 0.0)","(0.029411764705882353, 0.5, 0.055555555555554505)"
Reference cluster 11,"(0.0, 0.0, 0.0)","(0.058823529411764705, 0.8571428571428571, 0.11009174311926484)"
Reference cluster 12,"(0.0, 0.0, 0.0)","(0.049019607843137254, 0.8333333333333334, 0.09259259259259153)"
Reference cluster 13,"(0.0, 0.0, 0.0)","(0.029411764705882353, 0.6, 0.0560747663551393)"
Reference cluster 14,"(0.18181818181818182, 0.2, 0.1904761904761855)","(0.06862745098039216, 0.7, 0.12499999999999839)"
