,Cluster 1,Cluster 2,Cluster 3
Reference cluster 1,"(0.0, 0.0, 0.0)","(0.04878048780487805, 0.6666666666666666, 0.09090909090908963)","(0.01694915254237288, 0.3333333333333333, 0.032258064516128115)"
Reference cluster 2,"(0.0, 0.0, 0.0)","(0.04878048780487805, 0.6666666666666666, 0.09090909090908963)","(0.01694915254237288, 0.3333333333333333, 0.032258064516128115)"
Reference cluster 3,"(0.15384615384615385, 0.5, 0.23529411764705524)","(0.0, 0.0, 0.0)","(0.03389830508474576, 0.5, 0.0634920634920623)"
Reference cluster 4,"(0.0, 0.0, 0.0)","(0.14634146341463414, 0.8571428571428571, 0.2499999999999975)","(0.01694915254237288, 0.14285714285714285, 0.030303030303028403)"
Reference cluster 5,"(0.0, 0.0, 0.0)","(0.04878048780487805, 0.6666666666666666, 0.09090909090908963)","(0.01694915254237288, 0.3333333333333333, 0.032258064516128115)"
Reference cluster 6,"(0.15384615384615385, 0.16666666666666666, 0.159999999999995)","(0.07317073170731707, 0.25, 0.11320754716980781)","(0.11864406779661017, 0.5833333333333334, 0.19718309859154648)"
Reference cluster 7,"(0.0, 0.0, 0.0)","(0.024390243902439025, 0.25, 0.04444444444444282)","(0.05084745762711865, 0.75, 0.09523809523809405)"
Reference cluster 8,"(0.0, 0.0, 0.0)","(0.04878048780487805, 0.5, 0.08888888888888727)","(0.03389830508474576, 0.5, 0.0634920634920623)"
Reference cluster 9,"(0.07692307692307693, 0.14285714285714285, 0.09999999999999547)","(0.04878048780487805, 0.2857142857142857, 0.08333333333333084)","(0.06779661016949153, 0.5714285714285714, 0.1212121212121193)"
Reference cluster 10,"(0.0, 0.0, 0.0)","(0.0975609756097561, 0.6666666666666666, 0.17021276595744458)","(0.03389830508474576, 0.3333333333333333, 0.06153846153845986)"
Reference cluster 11,"(0.0, 0.0, 0.0)","(0.04878048780487805, 0.2857142857142857, 0.08333333333333084)","(0.0847457627118644, 0.7142857142857143, 0.15151515151514963)"
Reference cluster 12,"(0.0, 0.0, 0.0)","(0.024390243902439025, 0.16666666666666666, 0.042553191489359474)","(0.0847457627118644, 0.8333333333333334, 0.15384615384615216)"
Reference cluster 13,"(0.07692307692307693, 0.2, 0.11111111111110711)","(0.04878048780487805, 0.4, 0.08695652173912852)","(0.03389830508474576, 0.4, 0.062499999999998564)"
Reference cluster 14,"(0.23076923076923078, 0.3, 0.2608695652173864)","(0.07317073170731707, 0.3, 0.11764705882352626)","(0.06779661016949153, 0.4, 0.11594202898550478)"
