,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
Reference cluster 1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.09090909090909091, 0.6666666666666666, 0.1599999999999979)","(0.022727272727272728, 0.3333333333333333, 0.042553191489360515)"
Reference cluster 2,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.14285714285714285, 0.6666666666666666, 0.2352941176470559)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.022727272727272728, 0.3333333333333333, 0.042553191489360515)"
Reference cluster 3,"(0.0, 0.0, 0.0)","(0.15384615384615385, 0.5, 0.23529411764705524)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.045454545454545456, 0.5, 0.08333333333333182)"
Reference cluster 4,"(0.4, 0.2857142857142857, 0.3333333333333285)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.18181818181818182, 0.5714285714285714, 0.2758620689655136)","(0.022727272727272728, 0.14285714285714285, 0.03921568627450744)"
Reference cluster 5,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.07142857142857142, 0.3333333333333333, 0.1176470588235265)","(0.0, 0.0, 0.0)","(0.045454545454545456, 0.3333333333333333, 0.07999999999999789)","(0.022727272727272728, 0.3333333333333333, 0.042553191489360515)"
Reference cluster 6,"(0.0, 0.0, 0.0)","(0.15384615384615385, 0.16666666666666666, 0.159999999999995)","(0.07142857142857142, 0.08333333333333333, 0.07692307692307195)","(0.2, 0.25, 0.2222222222222173)","(0.09090909090909091, 0.16666666666666666, 0.11764705882352486)","(0.09090909090909091, 0.3333333333333333, 0.14285714285713952)"
Reference cluster 7,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.045454545454545456, 0.25, 0.07692307692307432)","(0.06818181818181818, 0.75, 0.12499999999999847)"
Reference cluster 8,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.09090909090909091, 0.5, 0.15384615384615125)","(0.045454545454545456, 0.5, 0.08333333333333182)"
Reference cluster 9,"(0.0, 0.0, 0.0)","(0.07692307692307693, 0.14285714285714285, 0.09999999999999547)","(0.0, 0.0, 0.0)","(0.06666666666666667, 0.14285714285714285, 0.09090909090908658)","(0.09090909090909091, 0.2857142857142857, 0.13793103448275496)","(0.06818181818181818, 0.42857142857142855, 0.11764705882352704)"
Reference cluster 10,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.21428571428571427, 0.5, 0.29999999999999577)","(0.0, 0.0, 0.0)","(0.045454545454545456, 0.16666666666666666, 0.07142857142856808)","(0.045454545454545456, 0.3333333333333333, 0.07999999999999789)"
Reference cluster 11,"(0.4, 0.2857142857142857, 0.3333333333333285)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.11363636363636363, 0.7142857142857143, 0.19607843137254666)"
Reference cluster 12,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.07142857142857142, 0.16666666666666666, 0.0999999999999958)","(0.13333333333333333, 0.3333333333333333, 0.19047619047618639)","(0.0, 0.0, 0.0)","(0.06818181818181818, 0.5, 0.1199999999999979)"
Reference cluster 13,"(0.0, 0.0, 0.0)","(0.07692307692307693, 0.2, 0.11111111111110711)","(0.14285714285714285, 0.4, 0.2105263157894698)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.045454545454545456, 0.4, 0.08163265306122267)"
Reference cluster 14,"(0.0, 0.0, 0.0)","(0.23076923076923078, 0.3, 0.2608695652173864)","(0.14285714285714285, 0.2, 0.1666666666666618)","(0.2, 0.3, 0.2399999999999952)","(0.045454545454545456, 0.1, 0.06249999999999572)","(0.022727272727272728, 0.1, 0.03703703703703402)"
