,Cluster 1,Cluster 2,Cluster 3,Cluster 4
Reference cluster 1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.030303030303030304, 1.0, 0.058823529411764136)"
Reference cluster 2,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.030303030303030304, 1.0, 0.058823529411764136)"
Reference cluster 3,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.030303030303030304, 0.75, 0.05825242718446528)"
Reference cluster 4,"(1.0, 0.14285714285714285, 0.2499999999999978)","(0.0, 0.0, 0.0)","(0.09090909090909091, 0.14285714285714285, 0.11111111111110636)","(0.050505050505050504, 0.7142857142857143, 0.09433962264150819)"
Reference cluster 5,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.030303030303030304, 1.0, 0.058823529411764136)"
Reference cluster 6,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.09090909090909091, 0.08333333333333333, 0.08695652173912545)","(0.09090909090909091, 0.75, 0.16216216216216023)"
Reference cluster 7,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.04040404040404041, 1.0, 0.07766990291262062)"
Reference cluster 8,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.09090909090909091, 0.25, 0.13333333333332942)","(0.030303030303030304, 0.75, 0.05825242718446528)"
Reference cluster 9,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.09090909090909091, 0.14285714285714285, 0.11111111111110636)","(0.050505050505050504, 0.7142857142857143, 0.09433962264150819)"
Reference cluster 10,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.030303030303030304, 0.5, 0.05714285714285607)"
Reference cluster 11,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.06060606060606061, 0.8571428571428571, 0.11320754716981007)"
Reference cluster 12,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.050505050505050504, 0.8333333333333334, 0.09523809523809416)"
Reference cluster 13,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.030303030303030304, 0.6, 0.05769230769230678)"
Reference cluster 14,"(0.0, 0.0, 0.0)","(1.0, 0.2, 0.3333333333333306)","(0.18181818181818182, 0.2, 0.1904761904761855)","(0.050505050505050504, 0.5, 0.09174311926605339)"
